Approved_symbol	Locus	Chromosome
ALMS1-IT1	2p13.1	2
ALMS1P1	2p13.1	2
ALOX5	10q11.21	10
ALOX5AP	13q12.3	13
ALOX12	17p13.1	17
ALOX12-AS1	17p13.1	17
ALOX12B	17p13.1	17
ALOX12P1	17q11.2	17
ALOX12P2	17p13.1	17
ALOX15	17p13.2	17
ALOX15B	17p13.1	17
ALOX15P1	17p13.1	17
ALOX15P2	9q22.31	9
ALOXE3	17p13.1	17
ALOXE3P1	17p13.1	17
ALPG	2q37.1	2
ALPI	2q37.1	2
ALPK1	4q25	4
ALPK2	18q21.31-q21.32	18
ALPK3	15q25.3	15
ALPL	1p36.12	1
ALPP	2q37.1	2
ALPPP	2q37.1	2
ALS2	2q33.1	2
ALS2CL	3p21.31	3
ALS2CR1	2q33-q34	2
ALS2CR6	2q33	2
ALS2CR14	2q33	2
ALS2CR16	2q33.2	2
ALS2CR17	2q33.2	2
ALS2CR18	2q33	2
ALS3	18q21	18
ALS5	15q15.1-q21.1	15
ALS6	16q12	16
ALS7	20p13	20
ALX1	12q21.31	12
ALX3	1p13.3	1
ALX4	11p11.2	11
ALYREF	17q25.3	17
AMACR	5p13.2	5
AMBN	4q13.3	4
AMBP	9q32	9
AMBRA1	11p11.2	11
AMCD1	9	9
AMCD2B	11pter-p15.5	11
AMCN	5q35	5
AMD1	6q21	6
AMD1P1	10p12.31	10
AMD1P2	Xq28 and Yq12	X
AMD1P3	5p12	5
AMD1P4	6p24.1	6
AMDHD1	12q23.1	12
AMDHD2	16p13.3	16
AMDM	9p13-q12	9
AMELX	Xp22.2	X
AMELY	Yp11.2	Y
AMER1	Xq11.2	X
AMER2	13q12.13	13
AMER3	2q21.1	2
AMFR	16q13	16
AMH	19p13.3	19
AMHR2	12q13.13	12
AMIGO1	1p13.3	1
AMIGO2	12q13.11	12
AMIGO3	3p21.31	3
AMLCR2	16q22	16
AMMECR1	Xq23	X
AMMECR1-IT1	Xq23	X
AMMECR1L	2q14.3	2
AMMECR1LP1	13q32.1	13
AMN	14q32.32	14
AMN1	12p11.21	12
AMOT	Xq23	X
AMOTL1	11q21	11
AMOTL2	3q22.2	3
AMPD1	1p13.2	1
AMPD2	1p13.3	1
AMPD3	11p15.4	11
AMPH	7p14.1	7
AMT	3p21.31	3
AMTN	4q13.3	4
AMY1A	1p21.1	1
AMY1B	1p21.1	1
AMY1C	1p21.1	1
AMY2A	1p21.1	1
AMY2B	1p21.1	1
AMYP1	1p21.1	1
AMZ1	7p22.3	7
AMZ2	17q24.2	17
AMZ2P1	17q24.1	17
AMZ2P2	6q25.3	6
AMZ2P3	Xp21.3	X
ANAPC1	2q13	2
ANAPC1P1	2p11.2	2
ANAPC1P2	2p11.2	2
ANAPC1P3	2p11.2	2
ANAPC1P4	2p11.2	2
ANAPC1P5	2p11.2	2
ANAPC1P6	2q12.2	2
ANAPC2	9q34.3	9
ANAPC4	4p15.2	4
ANAPC5	12q24.31	12
ANAPC7	12q24.11	12
ANAPC10	4q31.21	4
ANAPC10P1	1p32.3	1
ANAPC11	17q25.3	17
ANAPC13	3q22.2	3
ANAPC15	11q13.4	11
ANAPC15P1	Xp22.31	X
ANAPC15P2	3q26.31	3
ANAPC16	10q22.1	10
ANCR	15q11-q12	15
ANE1	2q12.1-q13	2
ANG	14q11.2	14
ANGEL1	14q24.3	14
ANGEL2	1q32.3	1
ANGPT1	8q23.1	8
ANGPT2	8p23.1	8
ANGPT3	reserved	reserved
ANGPT4	20p13	20
ANGPTL1	1q25.2	1
ANGPTL2	9q33.3	9
ANGPTL3	1p31.3	1
ANGPTL4	19p13.2	19
ANGPTL5	11q22.1	11
ANGPTL6	19p13.2	19
ANGPTL7	1p36.22	1
ANGPTL8	19p13.2	19
ANHX	12q24.33	12
ANIB1	7q11.2	7
ANIB2	19q13	19
ANIB3	1p36.13-p34.3	1
ANIB4	5p15.2-p14.3	5
ANK1	8p11.21	8
ANK2	4q25-q26	4
ANK2-AS1	4q25	4
ANK3	10q21.2	10
ANK3-DT	10q21.2	10
ANKAR	2q32.2	2
ANKDD1A	15q22.31	15
ANKDD1B	5q13.3	5
ANKEF1	20p12.2	20
ANKFN1	17q22	17
ANKFY1	17p13.2	17
ANKH	5p15.2	5
ANKH-DT	5p15.2	5
ANKHD1	5q31.3	5
ANKHD1-DT	5q31.3	5
ANKHD1-EIF4EBP3	5q31.3	5
ANKIB1	7q21.2	7
ANKK1	11q23.2	11
ANKL1	7q31.2	7
ANKLE1	19p13.11	19
ANKLE2	12q24.33	12
ANKMY1	2q37.3	2
ANKMY2	7p21.1	7
ANKRA2	5q13.2	5
ANKRD1	10q23.31	10
ANKRD2	10q24.2	10
ANKRD6	6q15	6
ANKRD7	7q31.31	7
ANKRD9	14q32.31	14
ANKRD10	13q34	13
ANKRD10-IT1	13q34	13
ANKRD11	16q24.3	16
ANKRD11P1	2p12	2
ANKRD11P2	Xq27.3	X
ANKRD12	18p11.22	18
ANKRD13A	12q24.11	12
ANKRD13B	17q11.2	17
ANKRD13C	1p31.1	1
ANKRD13D	11q13.2	11
ANKRD14	9q22	9
ANKRD16	10p15.1	10
ANKRD17	4q13.3	4
ANKRD17-DT	4q13.3	4
ANKRD18A	9p13.1	9
ANKRD18B	9p13.3	9
ANKRD18CP	9q22.33	9
ANKRD18DP	3q29	3
ANKRD18EP	6p21.2	6
ANKRD18FP	6p25.3	6
ANKRD19P	9q22.31	9
ANKRD20A1	9q21.11	9
ANKRD20A2P	9p11.2	9
ANKRD20A3P	9q21.11	9
ANKRD20A4P	9q13	9
ANKRD20A5P	18p11.21	18
ANKRD20A6P	Yq11.21	Y
ANKRD20A7P	9p11.1	9
ANKRD20A8P	2q11.1	2
ANKRD20A9P	13q11	13
ANKRD20A10P	13q12.12	13
ANKRD20A11P	21q11.2	21
ANKRD20A12P	4	4
ANKRD20A13P	1q21.1	1
ANKRD20A14P	unplaced	un
ANKRD20A15P	1q21.1	1
ANKRD20A16P	21p11.2	21
ANKRD20A17P	4p11	4
ANKRD20A18P	21q11.2	21
ANKRD20A19P	13q12.12	13
ANKRD20A20P	9q21.11	9
ANKRD20A21P	20q11.21	20
ANKRD22	10q23.31	10
ANKRD23	2q11.2	2
ANKRD24	19p13.3	19
ANKRD26	10p12.1	10
ANKRD26P1	16q11.2	16
ANKRD26P2	13q13.3	13
ANKRD26P3	13q12.11	13
ANKRD26P4	13q12.3	13
ANKRD27	19q13.11	19
ANKRD28	3p25.1	3
ANKRD29	18q11.2	18
ANKRD30A	10p11.21	10
ANKRD30B	18p11.21	18
ANKRD30BL	2q21.2	2
ANKRD30BP1	21q11.2	21
ANKRD30BP2	21q11.2	21
ANKRD30BP3	10q11.21	10
ANKRD31	5q13.3	5
ANKRD33	12q13.13	12
ANKRD33B	5p15.2	5
ANKRD33B-AS1	5p15.2	5
ANKRD33B-IT1	5p15.2	5
ANKRD33BP1	2q11.1	2
ANKRD33BP2	11p11.12	11
ANKRD33BP3	11p11.12	11
ANKRD33BP4	11p11.12	11
ANKRD33BP5	11p11.12	11
ANKRD33BP6	11q12.1	11
ANKRD33BP7	11q14.3	11
ANKRD33BP8	11q14.3	11
ANKRD33BP9	11q14.3	11
ANKRD33BP10	11q14.3	11
ANKRD34A	1q21.1	1
ANKRD34B	5q14.1	5
ANKRD34C	15q25.1	15
ANKRD34C-AS1	15q25.1	15
ANKRD35	1q21.1	1
ANKRD36	2q11.2	2
ANKRD36B	2q11.2	2
ANKRD36BP1	1q24.2	1
ANKRD36BP2	2p11.2	2
ANKRD36C	2q11.1	2
ANKRD36P1	Yq11.23	Y
ANKRD37	4q35.1	4
ANKRD39	2q11.2	2
ANKRD39P1	6p21.2	6
ANKRD40	17q21.33	17
ANKRD40CL	17q21.33	17
ANKRD42	11q14.1	11
ANKRD42-DT	11q14.1	11
ANKRD44	2q33.1	2
ANKRD44-AS1	2q33.1	2
ANKRD44-DT	2q33.1	2
ANKRD44-IT1	2q33.1	2
ANKRD45	1q25.1	1
ANKRD46	8q22.3	8
ANKRD49	11q21	11
ANKRD49P1	2q36.2	2
ANKRD49P2	12p11.21	12
ANKRD49P3	5q31.1	5
ANKRD49P4	7q31.2	7
ANKRD50	4q28.1	4
ANKRD52	12q13.3	12
ANKRD53	2p13.3	2
ANKRD54	22q13.1	22
ANKRD54P1	10q11.21	10
ANKRD55	5q11.2	5
ANKRD60	20q13.32	20
ANKRD61	7p22.1	7
ANKRD62	18p11.21	18
ANKRD62P1	22q11.1	22
ANKRD62P1-PARP4P3	22q11.1	22
ANKRD63	15q15.1	15
ANKRD65	1p36.33	1
ANKRD65-AS1	1p36.33	1
ANKRD66	6p12.3	6
ANKS1A	6p21.31	6
ANKS1B	12q23.1	12
ANKS3	16p13.3	16
ANKS4B	16p12.2	16
ANKS6	9q22.33	9
ANKUB1	3q25.1	3
ANKZF1	2q35	2
ANLN	7p14.2	7
ANO1	11q13.3	11
ANO1-AS1	11q13.3	11
ANO2	12p13.31	12
ANO3	11p14.2	11
ANO3-AS1	11p14.2	11
ANO4	12q23.1	12
ANO5	11p14.3	11
ANO6	12q12	12
ANO7	2q37.3	2
ANO7L1	1p36.13	1
ANO8	19p13.11	19
ANO9	11p15.5	11
ANO10	3p22.1-p21.33	3
ANOP1	X	X
ANOS1	Xp22.31	X
ANOS2P	Yq11.221	Y
ANP32A	15q23	15
ANP32A-IT1	15q23	15
ANP32AP1	15q14	15
ANP32B	9q22.33	9
ANP32BP1	15q24.2	15
ANP32BP2	22q13.31	22
ANP32BP3	15q25.1	15
ANP32CP	4q32.3	4
ANP32D	12q13.11	12
ANP32E	1q21.2	1
ANPEP	15q26.1	15
ANTKMT	16p13.3	16
ANTP2	reserved	reserved
ANTP3	22q13.2	22
ANTP4	reserved	reserved
ANTXR1	2p13.3	2
ANTXR2	4q21.21	4
ANTXRL	10q11.22	10
ANTXRLP1	10q11.22	10
ANXA1	9q21.13	9
ANXA2	15q22.2	15
ANXA2P1	4q31.3	4
ANXA2P2	9p13.3	9
ANXA2P3	10q21.3	10
ANXA2R	5p12	5
ANXA2R-AS1	5p12	5
ANXA2R-OT1	5p12	5
ANXA3	4q21.21	4
ANXA4	2p13.3	2
ANXA5	4q27	4
ANXA6	5q33.1	5
ANXA7	10q22.2	10
ANXA8	10q11.22	10
ANXA8L1	10q11.22	10
ANXA8L2	10q11.22	10
ANXA9	1q21.3	1
ANXA10	4q32.3	4
ANXA11	10q22.3	10
ANXA13	8q24.13	8
AOAH	7p14.2	7
AOAH-IT1	7p14.2	7
AOC1	7q36.1	7
AOC2	17q21.31	17
AOC3	17q21.31	17
AOC4P	17q21.31	17
AOM	12q14	12
AOPEP	9q22.32	9
AOX1	2q33.1	2
AOX2P	2q33.1	2
AOX3P	2q33.1	2
AOX3P-AOX2P	2q33.1	2
AP1AR	4q25	4
AP1AR-DT	4q25	4
AP1B1	22q12.2	22
AP1B1P1	22q12.3	22
AP1B1P2	22q12.3	22
AP1G1	16q22.2	16
AP1G2	14q11.2	14
AP1G2-AS1	14q11.2	14
AP1M1	19p13.11	19
AP1M2	19p13.2	19
AP1M2P1	Xq12	X
AP1S1	7q22.1	7
AP1S2	Xp22.2	X
AP1S2P1	7q21.3	7
AP1S3	2q36.1	2
AP2A1	19q13.33	19
AP2A2	11p15.5	11
AP2B1	17q12	17
AP2B1P1	Xq21.32	X
AP2M1	3q27.1	3
AP2S1	19q13.32	19
AP3B1	5q14.1	5
AP3B2	15q25.2	15
AP3D1	19p13.3	19
AP3M1	10q22.2	10
AP3M2	8p11.21	8
AP3S1	5q22.3-q23.1	5
AP3S2	15q26.1	15
AP4B1	1p13.2	1
AP4B1-AS1	1p13.2	1
AP4E1	15q21.2	15
AP4M1	7q22.1	7
AP4S1	14q12	14
AP5B1	11q13.1	11
AP5M1	14q22.3	14
AP5S1	20p13	20
AP5Z1	7p22.1	7
APAF1	12q23.1	12
APBA1	9q21.12	9
APBA2	15q13.1	15
APBA3	19p13.3	19
APBB1	11p15.4	11
APBB1IP	10p12.1	10
APBB2	4p14-p13	4
APBB3	5q31.3	5
APC	5q22.2	5
APC2	19p13.3	19
APCDD1	18p11.22	18
APCDD1L	20q13.32	20
APCDD1L-DT	20q13.32	20
APCS	1q23.2	1
APEH	3p21.31	3
APELA	4q32.3	4
APEX1	14q11.2	14
APEX2	Xp11.21	X
APH1A	1q21.2	1
APH1B	15q22.2	15
API5	11p12	11
API5P1	Xq23	X
API5P2	2q31.2	2
API6	reserved	reserved
APIP	11p13	11
APLF	2p13.3	2
APLN	Xq26.1	X
APLNR	11q12.1	11
APLP1	19q13.12	19
APLP2	11q24.3	11
APMAP	20p11.21	20
APOA1	11q23.3	11
APOA1-AS	11q23.3	11
APOA2	1q23.3	1
APOA4	11q23.3	11
APOA5	11q23.3	11
APOAL	6q26-q27	6
APOB	2p24.1	2
APOBEC1	12p13.31	12
APOBEC2	6p21.1	6
APOBEC3A	22q13.1	22
APOBEC3A_B	22q13 alternate reference locus	22
APOBEC3AP1	4q33	4
APOBEC3B	22q13.1	22
APOBEC3B-AS1	22q13.1	22
APOBEC3C	22q13.1	22
APOBEC3D	22q13.1	22
APOBEC3E	22q13.1-q13.2	22
APOBEC3F	22q13.1	22
APOBEC3G	22q13.1	22
APOBEC3H	22q13.1	22
APOBEC4	1q25.3	1
APOBER1	reserved	reserved
APOBR	16p12.1	16
APOC1	19q13.32	19
APOC1P1	19q13.32	19
APOC2	19q13.32	19
APOC3	11q23.3	11
APOC4	19q13.32	19
APOC4-APOC2	19q13.32	19
APOD	3q29	3
APOE	19q13.32	19
APOEL1	16q11-q24	16
APOF	12q13.3	12
APOH	17q24.2	17
APOL1	22q12.3	22
APOL2	22q12.3	22
APOL3	22q12.3	22
APOL4	22q12.3	22
APOL5	22q12.3	22
APOL6	22q12.3	22
APOLD1	12p13.1	12
APOM	6p21.33	6
APONP	12q13.3	12
APOO	Xp22.11	X
APOOL	Xq21.1	X
APOOP1	5q33.3	5
APOOP2	3p11.2	3
APOOP3	12q14.3	12
APOOP4	4q13.2	4
APOOP5	16q21	16
APP	21q21.3	21
APP-DT	21q21.3	21
APPAT	2q11.2	2
APPBP2	17q23.2	17
APPBP2-DT	17q23.2	17
APPL	9q31-qter	9
APPL1	3p14.3	3
APPL2	12q23.3	12
APRG1	3p22.2	3
APRT	16q24.3	16
APTR	7q11.23	7
APTX	9p21.1	9
AQP1	7p14.3	7
AQP2	12q13.12	12
AQP3	9p13.3	9
AQP4	18q11.2	18
AQP4-AS1	18q11.2	18
AQP5	12q13.12	12
AQP5-AS1	12q13.12	12
AQP6	12q13.12	12
AQP7	9p13.3	9
AQP7B	2q11.1	2
AQP7P1	9q13	9
AQP7P2	9q13	9
AQP7P3	9q21.11	9
AQP7P4	9q13	9
AQP7P5	9p11.2	9
AQP8	16p12.1	16
AQP9	15q21.3	15
AQP10	1q21.3	1
AQP11	11q14.1	11
AQP12A	2q37.3	2
AQP12B	2q37.3	2
AQR	15q14	15
AR	Xq12	X
ARAF	Xp11.3	X
ARAFP1	7q11.21	7
ARAFP2	7q11.21	7
ARAFP3	7q11.21	7
ARAP1	11q13.4	11
ARAP1-AS1	11q13.4	11
ARAP1-AS2	11q13.4	11
ARAP2	4p14	4
ARAP3	5q31.3	5
ARC	8q24.3	8
ARCN1	11q23.3	11
ARCN2	reserved	reserved
AREG	4q13.3	4
AREGB	4q13.3	4
AREL1	14q24.3	14
ARF1	1q42.13	1
ARF1P1	7q21.3	7
ARF1P2	12q24.31	12
ARF1P3	8q24.13	8
ARF2	3p21.2-p21.1	3
ARF2P	17q21.31	17
ARF3	12q13.12	12
ARF4	3p14.3	3
ARF4-AS1	3p14.3	3
ARF4P1	9q34.2	9
ARF4P2	20q13.33	20
ARF4P3	13q32.3	13
ARF4P4	13q31.1	13
ARF4P5	1p31.1	1
ARF5	7q32.1	7
ARF6	14q21.3	14
ARFGAP1	20q13.33	20
ARFGAP2	11p11.2	11
ARFGAP3	22q13.2	22
ARFGEF1	8q13.2	8
ARFGEF1-DT	8q13.2	8
ARFGEF2	20q13.13	20
ARFGEF3	6q23.3-q24.1	6
ARFIP1	4q31.3	4
ARFIP2	11p15.4	11
ARFRP1	20q13.33	20
ARG1	6q23.2	6
ARG2	14q24.1	14
ARGFX	3q13.33	3
ARGFXP1	5q23.2	5
ARGFXP2	17q11.2	17
ARGLU1	13q33.3	13
ARHGAP1	11p11.2	11
ARHGAP4	Xq28	X
ARHGAP5	14q12	14
ARHGAP5-AS1	14q12	14
ARHGAP6	Xp22.2	X
ARHGAP8	22q13.31	22
ARHGAP9	12q13.3	12
ARHGAP10	4q31.23	4
ARHGAP11A	15q13.3	15
ARHGAP11A-DT	15q13.3	15
ARHGAP11A-SCG5	15q13.3	15
ARHGAP11B	15q13.2	15
ARHGAP11B-DT	15q13.2	15
ARHGAP12	10p11.22	10
ARHGAP15	2q22.2-q22.3	2
ARHGAP15-AS1	2q22.3	2
ARHGAP16P	14q21.2	14
ARHGAP17	16p12.1	16
ARHGAP18	6q22.33	6
ARHGAP19	10q24.1	10
ARHGAP19-SLIT1	10q24.1	10
ARHGAP20	11q22.3-q23.1	11
ARHGAP21	10p12.1	10
ARHGAP22	10q11.22-q11.23	10
ARHGAP22-IT1	10q11.22	10
ARHGAP23	17q12	17
ARHGAP23P1	16p11.2	16
ARHGAP24	4q21.23-q21.3	4
ARHGAP25	2p13.3	2
ARHGAP26	5q31.3	5
ARHGAP26-AS1	5q31.3	5
ARHGAP26-IT1	5q31.3	5
ARHGAP27	17q21.31	17
ARHGAP27P1	17q24.1	17
ARHGAP27P1-BPTFP1-KPNA2P3	17q24.1	17
ARHGAP27P2	17q24.2	17
ARHGAP28	18p11.31	18
ARHGAP28-AS1	18p11.31	18
ARHGAP29	1p22.1	1
ARHGAP29-AS1	1p22.1-p21.3	1
ARHGAP30	1q23.3	1
ARHGAP31	3q13.32-q13.33	3
ARHGAP31-AS1	3q13.33	3
ARHGAP32	11q24.3	11
ARHGAP33	19q13.12	19
ARHGAP35	19q13.32	19
ARHGAP36	Xq26.1	X
ARHGAP39	8q24.3	8
ARHGAP40	20q11.23	20
ARHGAP42	11q22.1	11
ARHGAP42-AS1	11q22.1	11
ARHGAP42P1	2q21.1	2
ARHGAP42P2	2q21.1	2
ARHGAP42P3	22q11.1	22
ARHGAP42P4	14q11.2	14
ARHGAP42P5	14q11.2	14
ARHGAP44	17p12	17
ARHGAP44-AS1	17p12	17
ARHGAP45	19p13.3	19
ARHGDIA	17q25.3	17
ARHGDIB	12p12.3	12
ARHGDIG	16p13.3	16
ARHGEF1	19q13.2	19
ARHGEF2	1q22	1
ARHGEF2-AS1	1q22	1
ARHGEF2-AS2	1q22	1
ARHGEF3	3p14.3	3
ARHGEF3-AS1	3p14.3	3
ARHGEF4	2q21.1	2
ARHGEF4-AS1	2q21.1	2
ARHGEF5	7q35	7
ARHGEF6	Xq26.3	X
ARHGEF7	13q34	13
ARHGEF7-AS1	13q34	13
ARHGEF7-AS2	13q34	13
ARHGEF7-IT1	13q34	13
ARHGEF9	Xq11.1	X
ARHGEF9-IT1	Xq11.1	X
ARHGEF10	8p23.3	8
ARHGEF10L	1p36.13	1
ARHGEF11	1q23.1	1
ARHGEF12	11q23.3	11
ARHGEF15	17p13.1	17
ARHGEF16	1p36.32	1
ARHGEF17	11q13.4	11
ARHGEF17-AS1	11q13.4	11
ARHGEF18	19p13.2	19
ARHGEF18-AS1	19p13.2	19
ARHGEF19	1p36.13	1
ARHGEF19-AS1	1p36.13	1
ARHGEF25	12q13.3	12
ARHGEF26	3q25.2	3
ARHGEF26-AS1	3q25.2	3
ARHGEF28	5q13.2	5
ARHGEF28P1	3q12.1	3
ARHGEF33	2p22.1	2
ARHGEF34P	7q35	7
ARHGEF35	7q35	7
ARHGEF35-AS1	7q35	7
ARHGEF37	5q32	5
ARHGEF38	4q24	4
ARHGEF38-IT1	4q24	4
ARHGEF39	9p13.3	9
ARHGEF40	14q11.2	14
ARID1A	1p36.11	1
ARID1B	6q25.3	6
ARID2	12q12	12
ARID3A	19p13.3	19
ARID3B	15q24.1	15
ARID3BP1	1p31.1	1
ARID3C	9p13.3	9
ARID4A	14q23.1	14
ARID4B	1q42.3	1
ARID4B-IT1	1q42.3	1
ARID5A	2q11.2	2
ARID5B	10q21.2	10
ARIH1	15q24.1	15
ARIH2	3p21.31	3
ARIH2OS	3p21.31	3
ARIH2P1	18q12.1	18
ARK2C	18q21.1	18
ARK2N	18q21.1	18
ARL1	12q23.2	12
ARL2	11q13.1	11
ARL2-SNX15	11q13.1	11
ARL2BP	16q13	16
ARL2BPP1	18q23	18
ARL2BPP2	12q13.13	12
ARL2BPP3	13q13.3	13
ARL2BPP4	5q23.3	5
ARL2BPP5	5q34	5
ARL2BPP6	5q35.2	5
ARL2BPP7	9q31.1	9
ARL2BPP8	17q22	17
ARL2BPP9	17q25.3	17
ARL2BPP10	22q11.21	22
ARL3	10q24.32	10
ARL4A	7p21.3	7
ARL4AP1	10q21.2	10
ARL4AP2	4p14	4
ARL4AP3	10p15.1	10
ARL4AP4	3p24.2	3
ARL4AP5	6q25.1	6
ARL4C	2q37.1	2
ARL4D	17q21.31	17
ARL5A	2q23.3	2
ARL5AP1	Xq24	X
ARL5AP2	10q24.2	10
ARL5AP3	1p31.3	1
ARL5AP4	22q11.23	22
ARL5AP5	Xq13.3	X
ARL5B	10p12.31	10
ARL5B-AS1	10p12.31	10
ARL5C	17q12	17
ARL6	3q11.2	3
ARL6IP1	16p12.3	16
ARL6IP1P1	14q11.2	14
ARL6IP1P2	10p11.21	10
ARL6IP1P3	11q14.1	11
ARL6IP4	12q24.31	12
ARL6IP5	3p14.1	3
ARL6IP6	2q23.3	2
ARL8A	1q32.1	1
ARL8B	3p26.1	3
ARL8BP1	3q29	3
ARL8BP2	1p35.3	1
ARL9	4q12	4
ARL10	5q35.2	5
ARL11	13q14.2	13
ARL13A	Xq22.1	X
ARL13B	3q11.1-q11.2	3
ARL14	3q25.33	3
ARL14EP	11p14.1	11
ARL14EP-DT	11p14.1	11
ARL14EPL	5q23.1	5
ARL14EPP1	2p22.2	2
ARL15	5q11.2	5
ARL16	17q25.3	17
ARL17A	17q21.31	17
ARL17B	17q21.31	17
ARLNC1	16q23.2	16
ARMC1	8q13.1	8
ARMC2	6q21	6
ARMC2-AS1	6q21	6
ARMC3	10p12.2	10
ARMC5	16p11.2	16
ARMC6	19p13.11	19
ARMC7	17q25.1	17
ARMC8	3q22.3	3
ARMC8P1	9p13.1	9
ARMC9	2q37.1	2
ARMC10	7q22.1	7
ARMC10P1	3q11.2	3
ARMC12	6p21.31	6
ARMCX1	Xq22.1	X
ARMCX2	Xq22.1	X
ARMCX3	Xq22.1	X
ARMCX3-AS1	Xq22.1	X
ARMCX4	Xq22.1	X
ARMCX5	Xq22.1	X
ARMCX5-GPRASP2	Xq22.1	X
ARMCX6	Xq22.1	X
ARMCX7P	Xq22.1	X
ARMD1	1q25-q31	1
ARMH1	1p34.1	1
ARMH2	6p22.3	6
ARMH3	10q24.32	10
ARMH4	14q23.1	14
ARMS2	10q26.13	10
ARMT1	6q25.1	6
ARNILA	2p23.3	2
ARNT	1q21.3	1
ARNT2	15q25.1	15
ARNT2-DT	15q25.1	15
ARPC1A	7q22.1	7
ARPC1AP1	3q13.33	3
ARPC1AP2	19q13.41	19
ARPC1AP3	5q13.3	5
ARPC1AP4	4q21.3	4
ARPC1B	7q22.1	7
ARPC1BP1	2q34	2
ARPC2	2q35	2
ARPC3	12q24.11	12
ARPC3P1	20q13.13	20
ARPC3P2	1q32.3	1
ARPC3P3	11q21	11
ARPC3P4	11q13.4	11
ARPC3P5	6p22.3	6
ARPC4	3p25.3	3
ARPC4-TTLL3	3p25.3	3
ARPC5	1q25.3	1
ARPC5L	9q33.3	9
ARPIN	15q26.1	15
ARPIN-AP3S2	15q26.1	15
ARPP19	15q21.2	15
ARPP19P1	5q35.3	5
ARPP19P2	2q11.2	2
ARPP21	3p22.3	3
ARPP21-AS1	3p22.3	3
ARR3	Xq13.1	X
ARRB1	11q13.4	11
ARRB2	17p13.2	17
ARRDC1	9q34.3	9
ARRDC1-AS1	9q34.3	9
ARRDC2	19p13.11	19
ARRDC3	5q14.3	5
ARRDC3-AS1	5q14.3	5
ARRDC4	15q26.2	15
ARRDC5	19p13.3	19
ARSA	22q13.33	22
ARSB	5q14.1	5
ARSC2	X	X
ARSD	Xp22.33	X
ARSD-AS1	Xp22.33	X
ARSDP1	Yq11.21	Y
ARSF	Xp22.33	X
ARSFP1	Yq11.21	Y
ARSG	17q24.2	17
ARSH	Xp22.33	X
ARSI	5q32	5
ARSJ	4q26	4
ARSK	5q15	5
ARSL	Xp22.33	X
ARSLP1	Yq11.21	Y
ART1	11p15.4	11
ART2BP	11q13.4	11
ART2P	11q13.4	11
ART3	4q21.1	4
ART4	12p12.3	12
ART5	11p15.4	11
ARTN	1p34.1	1
ARV1	1q42.2	1
ARVCF	22q11.21	22
ARVD1	14q23-q24	14
ARVD2	1q42-q43	1
ARVD3	14q12-q22	14
ARVD4	2q32.1-q32.3	2
ARVD5	3p23	3
ARX	Xp21.3	X
AS	6	6
AS3MT	10q24.32	10
ASAH1	8p22	8
ASAH1-AS1	8p22	8
ASAH2	10q11.23	10
ASAH2B	10q11.23	10
ASAH2C	10q11.22	10
ASAP1	8q24.21-q24.22	8
ASAP1-IT1	8q24.21	8
ASAP1-IT2	8q24.21	8
ASAP2	2p25.1	2
ASAP3	1p36.12	1
ASB1	2q37.3	2
ASB2	14q32.12	14
ASB3	2p16.2	2
ASB4	7q21.3	7
ASB5	4q34.2	4
ASB6	9q34.11	9
ASB7	15q26.3	15
ASB8	12q13.11	12
ASB9	Xp22.2	X
ASB9P1	15q26.1	15
ASB10	7q36.1	7
ASB11	Xp22.2	X
ASB12	Xq11.2	X
ASB13	10p15.1	10
ASB14	3p14.3	3
ASB15	7q31.32	7
ASB15-AS1	7q31.32	7
ASB16	17q21.31	17
ASB16-AS1	17q21.31	17
ASB17	1p31.1	1
ASB18	2q37.2	2
ASCC1	10q22.1	10
ASCC2	22q12.2	22
ASCC3	6q16.3	6
ASCL1	12q23.2	12
ASCL2	11p15.5	11
ASCL3	11p15.4	11
ASCL4	12q23.3	12
ASCL5	1q32.1	1
ASD1	5p15.31	5
ASDURF	2q32	2
ASF1A	6q22.31	6
ASF1B	19p13.12	19
ASGR1	17p13.1	17
ASGR2	17p13.1	17
ASH1L	1q22	1
ASH1L-AS1	1q22	1
ASH1L-IT1	1q22	1
ASH2L	8p11.23	8
ASH2LP1	22q11.22	22
ASH2LP2	22q11.22	22
ASH2LP3	22q11.22	22
ASIC1	12q13.12	12
ASIC2	17q11.2-q12	17
ASIC3	7q36.1	7
ASIC4	2q35	2
ASIC4-AS1	2q35	2
ASIC5	4q32.1	4
ASIP	20q11.22	20
ASL	7q11.21	7
ASLP1	22q11.23	22
ASMD	4q28-q31	4
ASMER1	21q11.2	21
ASMER2	Xp11.22	X
ASMT	Xp22.3 and Yp11.3	X
ASMTL	Xp22.3 and Yp11.3	X
ASMTL-AS1	Xp22.33 and Yp11.32	X
ASNS	7q21.3	7
ASNSD1	2q32.2	2
ASNSP1	8q11.1	8
ASNSP2	21p11.2	21
ASNSP3	13q32.3	13
ASNSP4	8q11.1	8
ASNSP5	unplaced	un
ASNSP6	18p11.21	18
ASPA	17p13.2	17
ASPDH	19q13.33	19
ASPG	14q32.33	14
ASPH	8q12.3	8
ASPHD1	16p11.2	16
ASPHD2	22q12.1	22
ASPM	1q31.3	1
ASPN	9q22.31	9
ASPRV1	2p13.3	2
ASPSCR1	17q25.3	17
ASRGL1	11q12.3	11
ASS1	9q34.11	9
ASS1P1	6p22.3	6
